p,lorenz,gini,alpha,year,country_code
0.0,0.0,0.525,3.2105263157894735,2014.0,COL
0.01,3.792690190732254e-07,0.525,3.2105263157894735,2014.0,COL
0.02,3.5108485172304332e-06,0.525,3.2105263157894735,2014.0,COL
0.03,1.290499119374061e-05,0.525,3.2105263157894735,2014.0,COL
0.04,3.249951008668953e-05,0.525,3.2105263157894735,2014.0,COL
0.05,6.652868836769645e-05,0.525,3.2105263157894735,2014.0,COL
0.06,0.00011945997937856484,0.525,3.2105263157894735,2014.0,COL
0.07,0.00019595523276151508,0.525,3.2105263157894735,2014.0,COL
0.08,0.0003008441266238517,0.525,3.2105263157894735,2014.0,COL
0.09,0.00043910467065692263,0.525,3.2105263157894735,2014.0,COL
0.1,0.0006158482110660269,0.525,3.2105263157894735,2014.0,COL
0.11,0.0008363074954553587,0.525,3.2105263157894735,2014.0,COL
0.12,0.0011058269206761597,0.525,3.2105263157894735,2014.0,COL
0.13,0.001429854397239889,0.525,3.2105263157894735,2014.0,COL
0.14,0.0018139344470197382,0.525,3.2105263157894735,2014.0,COL
0.15,0.0022637022649890513,0.525,3.2105263157894735,2014.0,COL
0.16,0.0027848785499427005,0.525,3.2105263157894735,2014.0,COL
0.17,0.0033832649592156023,0.525,3.2105263157894735,2014.0,COL
0.18,0.004064740077246258,0.525,3.2105263157894735,2014.0,COL
0.19,0.004835255812707569,0.525,3.2105263157894735,2014.0,COL
0.2,0.00570083415709399,0.525,3.2105263157894735,2014.0,COL
0.21,0.006667564251185273,0.525,3.2105263157894735,2014.0,COL
0.22,0.007741599716061336,0.525,3.2105263157894735,2014.0,COL
0.23,0.008929156213233945,0.525,3.2105263157894735,2014.0,COL
0.24,0.010236509204617682,0.525,3.2105263157894735,2014.0,COL
0.25,0.011669991887925673,0.525,3.2105263157894735,2014.0,COL
0.26,0.013235993286959903,0.525,3.2105263157894735,2014.0,COL
0.27,0.014940956479400452,0.525,3.2105263157894735,2014.0,COL
0.28,0.016791376947250466,0.525,3.2105263157894735,2014.0,COL
0.29,0.018793801037190475,0.525,3.2105263157894735,2014.0,COL
0.3,0.020954824519831286,0.525,3.2105263157894735,2014.0,COL
0.31,0.023281091238301646,0.525,3.2105263157894735,2014.0,COL
0.32,0.025779291837822037,0.525,3.2105263157894735,2014.0,COL
0.33,0.02845616256894149,0.525,3.2105263157894735,2014.0,COL
0.34,0.031318484157986215,0.525,3.2105263157894735,2014.0,COL
0.35000000000000003,0.03437308073901305,0.525,3.2105263157894735,2014.0,COL
0.36,0.037626818842199976,0.525,3.2105263157894735,2014.0,COL
0.37,0.04108660643415694,0.525,3.2105263157894735,2014.0,COL
0.38,0.044759392006117636,0.525,3.2105263157894735,2014.0,COL
0.39,0.0486521637063888,0.525,3.2105263157894735,2014.0,COL
0.4,0.05277194851379567,0.525,3.2105263157894735,2014.0,COL
0.41000000000000003,0.057125811449180955,0.525,3.2105263157894735,2014.0,COL
0.42,0.06172085482229416,0.525,3.2105263157894735,2014.0,COL
0.43,0.06656421751165549,0.525,3.2105263157894735,2014.0,COL
0.44,0.07166307427519654,0.525,3.2105263157894735,2014.0,COL
0.45,0.07702463508967557,0.525,3.2105263157894735,2014.0,COL
0.46,0.0826561445170368,0.525,3.2105263157894735,2014.0,COL
0.47000000000000003,0.08856488109603886,0.525,3.2105263157894735,2014.0,COL
0.48,0.09475815675761529,0.525,3.2105263157894735,2014.0,COL
0.49,0.10124331626255492,0.525,3.2105263157894735,2014.0,COL
0.5,0.10802773666020071,0.525,3.2105263157894735,2014.0,COL
0.51,0.11511882676696805,0.525,3.2105263157894735,2014.0,COL
0.52,0.12252402666357327,0.525,3.2105263157894735,2014.0,COL
0.53,0.13025080720994667,0.525,3.2105263157894735,2014.0,COL
0.54,0.13830666957687876,0.525,3.2105263157894735,2014.0,COL
0.55,0.14669914479351706,0.525,3.2105263157894735,2014.0,COL
0.56,0.1554357933098926,0.525,3.2105263157894735,2014.0,COL
0.5700000000000001,0.16452420457371172,0.525,3.2105263157894735,2014.0,COL
0.58,0.17397199662070156,0.525,3.2105263157894735,2014.0,COL
0.59,0.1837868156778443,0.525,3.2105263157894735,2014.0,COL
0.6,0.19397633577887785,0.525,3.2105263157894735,2014.0,COL
0.61,0.20454825839148355,0.525,3.2105263157894735,2014.0,COL
0.62,0.2155103120556149,0.525,3.2105263157894735,2014.0,COL
0.63,0.22687025203245778,0.525,3.2105263157894735,2014.0,COL
0.64,0.23863585996354186,0.525,3.2105263157894735,2014.0,COL
0.65,0.25081494353955386,0.525,3.2105263157894735,2014.0,COL
0.66,0.26341533617842827,0.525,3.2105263157894735,2014.0,COL
0.67,0.27644489671231665,0.525,3.2105263157894735,2014.0,COL
0.68,0.2899115090830602,0.525,3.2105263157894735,2014.0,COL
0.6900000000000001,0.30382308204580977,0.525,3.2105263157894735,2014.0,COL
0.7000000000000001,0.3181875488804598,0.525,3.2105263157894735,2014.0,COL
0.71,0.33301286711057826,0.525,3.2105263157894735,2014.0,COL
0.72,0.34830701822953536,0.525,3.2105263157894735,2014.0,COL
0.73,0.36407800743354485,0.525,3.2105263157894735,2014.0,COL
0.74,0.3803338633613524,0.525,3.2105263157894735,2014.0,COL
0.75,0.39708263784031533,0.525,3.2105263157894735,2014.0,COL
0.76,0.41433240563863233,0.525,3.2105263157894735,2014.0,COL
0.77,0.4320912642234942,0.525,3.2105263157894735,2014.0,COL
0.78,0.45036733352493813,0.525,3.2105263157894735,2014.0,COL
0.79,0.46916875570519845,0.525,3.2105263157894735,2014.0,COL
0.8,0.4885036949333566,0.525,3.2105263157894735,2014.0,COL
0.81,0.508380337165104,0.525,3.2105263157894735,2014.0,COL
0.8200000000000001,0.5288068899274374,0.525,3.2105263157894735,2014.0,COL
0.8300000000000001,0.5497915821081191,0.525,3.2105263157894735,2014.0,COL
0.84,0.5713426637497367,0.525,3.2105263157894735,2014.0,COL
0.85,0.5934684058482114,0.525,3.2105263157894735,2014.0,COL
0.86,0.6161771001556019,0.525,3.2105263157894735,2014.0,COL
0.87,0.639477058987068,0.525,3.2105263157894735,2014.0,COL
0.88,0.6633766150318546,0.525,3.2105263157894735,2014.0,COL
0.89,0.6878841211681708,0.525,3.2105263157894735,2014.0,COL
0.9,0.7130079502818352,0.525,3.2105263157894735,2014.0,COL
0.91,0.7387564950885759,0.525,3.2105263157894735,2014.0,COL
0.92,0.7651381679598658,0.525,3.2105263157894735,2014.0,COL
0.93,0.7921614007521881,0.525,3.2105263157894735,2014.0,COL
0.9400000000000001,0.819834644639627,0.525,3.2105263157894735,2014.0,COL
0.9500000000000001,0.8481663699496831,0.525,3.2105263157894735,2014.0,COL
0.96,0.8771650660022189,0.525,3.2105263157894735,2014.0,COL
0.97,0.9068392409514419,0.525,3.2105263157894735,2014.0,COL
0.98,0.9371974216308347,0.525,3.2105263157894735,2014.0,COL
0.99,0.9682481534009525,0.525,3.2105263157894735,2014.0,COL
1.0,1.0,0.525,3.2105263157894735,2014.0,COL
0.0,0.0,0.51,3.0816326530612246,2015.0,COL
