p,lorenz,year,top_n,gini
0.0,0.0,2014,50,0.48105099250608485
0.01,0.003106282403193482,2014,50,0.48105099250608485
0.02,0.006212564806386964,2014,50,0.48105099250608485
0.03,0.009324814236187022,2014,50,0.48105099250608485
0.04,0.012437063665987081,2014,50,0.48105099250608485
0.05,0.015656686607707682,2014,50,0.48105099250608485
0.06,0.01887630954942828,2014,50,0.48105099250608485
0.07,0.022110383025196117,2014,50,0.48105099250608485
0.08,0.02534445650096395,2014,50,0.48105099250608485
0.09,0.02860904642771974,2014,50,0.48105099250608485
0.1,0.031873636354475536,2014,50,0.48105099250608485
0.11,0.03527136899645283,2014,50,0.48105099250608485
0.12,0.03866910163843012,2014,50,0.48105099250608485
0.13,0.04211086720050419,2014,50,0.48105099250608485
0.14,0.04555263276257827,2014,50,0.48105099250608485
0.15,0.04902826092591967,2014,50,0.48105099250608485
0.16,0.05250388908926108,2014,50,0.48105099250608485
0.17,0.056013852380838676,2014,50,0.48105099250608485
0.18,0.05952381567241626,2014,50,0.48105099250608485
0.19,0.0632190040412814,2014,50,0.48105099250608485
0.2,0.06691419241014655,2014,50,0.48105099250608485
0.21,0.07061354011523746,2014,50,0.48105099250608485
0.22,0.07431288782032837,2014,50,0.48105099250608485
0.23,0.0780128069533816,2014,50,0.48105099250608485
0.24,0.08171272608643483,2014,50,0.48105099250608485
0.25,0.08550277149704576,2014,50,0.48105099250608485
0.26,0.0892928169076567,2014,50,0.48105099250608485
0.27,0.0931055600962711,2014,50,0.48105099250608485
0.28,0.09691830328488552,2014,50,0.48105099250608485
0.29,0.10086080457694456,2014,50,0.48105099250608485
0.3,0.10480330586900363,2014,50,0.48105099250608485
0.31,0.10878992799315368,2014,50,0.48105099250608485
0.32,0.11277655011730373,2014,50,0.48105099250608485
0.33,0.1168368479870961,2014,50,0.48105099250608485
0.34,0.12089714585688849,2014,50,0.48105099250608485
0.35000000000000003,0.12502911947445508,2014,50,0.48105099250608485
0.36,0.12916109309202164,2014,50,0.48105099250608485
0.37,0.13332879194623276,2014,50,0.48105099250608485
0.38,0.13749649080044388,2014,50,0.48105099250608485
0.39,0.1418887828218469,2014,50,0.48105099250608485
0.4,0.1462810748432499,2014,50,0.48105099250608485
0.41000000000000003,0.1506772404868975,2014,50,0.48105099250608485
0.42,0.15507340613054513,2014,50,0.48105099250608485
0.43,0.15972792314715883,2014,50,0.48105099250608485
0.44,0.16438244016377257,2014,50,0.48105099250608485
0.45,0.16903773739933486,2014,50,0.48105099250608485
0.46,0.17369303463489716,2014,50,0.48105099250608485
0.47000000000000003,0.17846971086195657,2014,50,0.48105099250608485
0.48,0.18324638708901597,2014,50,0.48105099250608485
0.49,0.18830720037584137,2014,50,0.48105099250608485
0.5,0.19336801366266676,2014,50,0.48105099250608485
0.51,0.19847695327181902,2014,50,0.48105099250608485
0.52,0.20358589288097131,2014,50,0.48105099250608485
0.53,0.20906949143142123,2014,50,0.48105099250608485
0.54,0.21455308998187111,2014,50,0.48105099250608485
0.55,0.22030162231585315,2014,50,0.48105099250608485
0.56,0.22605015464983516,2014,50,0.48105099250608485
0.5700000000000001,0.23201653839995362,2014,50,0.48105099250608485
0.58,0.237982922150072,2014,50,0.48105099250608485
0.59,0.2441427177819382,2014,50,0.48105099250608485
0.6,0.2503025134138044,2014,50,0.48105099250608485
0.61,0.25722960493108044,2014,50,0.48105099250608485
0.62,0.26415669644835654,2014,50,0.48105099250608485
0.63,0.27119796366810467,2014,50,0.48105099250608485
0.64,0.2782392308878528,2014,50,0.48105099250608485
0.65,0.28529768490246776,2014,50,0.48105099250608485
0.66,0.2923561389170827,2014,50,0.48105099250608485
0.67,0.29984724082217185,2014,50,0.48105099250608485
0.68,0.30733834272726107,2014,50,0.48105099250608485
0.6900000000000001,0.31509975753102776,2014,50,0.48105099250608485
0.7000000000000001,0.32286117233479444,2014,50,0.48105099250608485
0.71,0.33090102640220265,2014,50,0.48105099250608485
0.72,0.3389408804696109,2014,50,0.48105099250608485
0.73,0.34709938825669606,2014,50,0.48105099250608485
0.74,0.35525789604378116,2014,50,0.48105099250608485
0.75,0.3649501054927447,2014,50,0.48105099250608485
0.76,0.37464231494170824,2014,50,0.48105099250608485
0.77,0.38435426612787016,2014,50,0.48105099250608485
0.78,0.3940662173140321,2014,50,0.48105099250608485
0.79,0.40812861990685567,2014,50,0.48105099250608485
0.8,0.4221910224996793,2014,50,0.48105099250608485
0.81,0.4363340129186896,2014,50,0.48105099250608485
0.8200000000000001,0.45047700333769997,2014,50,0.48105099250608485
0.8300000000000001,0.4680290835294386,2014,50,0.48105099250608485
0.84,0.48558116372117716,2014,50,0.48105099250608485
0.85,0.5046735829303567,2014,50,0.48105099250608485
0.86,0.5237660021395362,2014,50,0.48105099250608485
0.87,0.5431590309183956,2014,50,0.48105099250608485
0.88,0.5625520596972551,2014,50,0.48105099250608485
0.89,0.5869001930844095,2014,50,0.48105099250608485
0.9,0.6112483264715641,2014,50,0.48105099250608485
0.91,0.6368931288062254,2014,50,0.48105099250608485
0.92,0.6625379311408865,2014,50,0.48105099250608485
0.93,0.689527567206879,2014,50,0.48105099250608485
0.9400000000000001,0.7165172032728716,2014,50,0.48105099250608485
0.9500000000000001,0.7505965350784191,2014,50,0.48105099250608485
0.96,0.7846758668839661,2014,50,0.48105099250608485
0.97,0.8285988365484929,2014,50,0.48105099250608485
0.98,0.8725218062130198,2014,50,0.48105099250608485
0.99,0.9362609031065099,2014,50,0.48105099250608485
1.0,1.0,2014,50,0.48105099250608485
0.0,0.0,2014,100,0.5216846078749311
0.01,0.0026079566816914986,2014,100,0.5216846078749311
0.02,0.0052543515776987465,2014,100,0.5216846078749311
0.03,0.007936864059232052,2014,100,0.5216846078749311
0.04,0.010657492196639296,2014,100,0.5216846078749311
0.05,0.013414874076499501,2014,100,0.5216846078749311
0.06,0.016196510559192513,2014,100,0.5216846078749311
0.07,0.01903600148240692,2014,100,0.5216846078749311
0.08,0.021883941644805418,2014,100,0.5216846078749311
0.09,0.02481274541657446,2014,100,0.5216846078749311
0.1,0.027770821366937808,2014,100,0.5216846078749311
0.11,0.03074868986168891,2014,100,0.5216846078749311
0.12,0.03378615998852122,2014,100,0.5216846078749311
0.13,0.03692342611326701,2014,100,0.5216846078749311
0.14,0.04007406945339121,2014,100,0.5216846078749311
0.15,0.043245123574916645,2014,100,0.5216846078749311
0.16,0.04642663396593077,2014,100,0.5216846078749311
0.17,0.049714230244473676,2014,100,0.5216846078749311
0.18,0.053004541389901814,2014,100,0.5216846078749311
0.19,0.056322054963922646,2014,100,0.5216846078749311
0.2,0.05967071334749162,2014,100,0.5216846078749311
0.21,0.06303750668345572,2014,100,0.5216846078749311
0.22,0.06644692253352238,2014,100,0.5216846078749311
0.23,0.06988793119097304,2014,100,0.5216846078749311
0.24,0.07340303869047293,2014,100,0.5216846078749311
0.25,0.07693833297245614,2014,100,0.5216846078749311
