player_id,year,prize_usd,rank,annual_cost,balance,positive_balance
s0ag,2025,19114398,1,113494,19000904,True
a0e2,2025,18803427,2,113494,18689933,True
z355,2025,5976269,3,113494,5862775,True
fb98,2025,5456536,4,113494,5343042,True
ag37,2025,5228696,5,113494,5115202,True
dh58,2025,5192228,6,113494,5078734,True
d643,2025,5127247,7,113494,5013753,True
m0ej,2025,4682629,8,113494,4569135,True
s0s1,2025,4600654,9,113494,4487160,True
d0co,2025,3421705,10,113494,3308211,True
rh16,2025,3268588,11,113494,3155094,True
re44,2025,3047414,12,113494,2933920,True
r0dg,2025,2973473,13,113494,2859979,True
bk92,2025,2905990,14,113494,2792496,True
mm58,2025,2877832,15,113494,2764338,True
ke29,2025,2774482,16,113494,2660988,True
dh50,2025,2692726,17,113494,2579232,True
m0ni,2025,2652860,18,113494,2539366,True
c0e9,2025,2623372,19,113494,2509878,True
l0bv,2025,2596591,20,113494,2483097,True
pl56,2025,2265471,21,113494,2151977,True
t0ha,2025,2245560,22,113494,2132066,True
c0au,2025,2173341,23,113494,2059847,True
m0fh,2025,2161964,24,113494,2048470,True
te51,2025,2026842,25,113494,1913348,True
su55,2025,2018950,26,113494,1905456,True
n771,2025,1972587,27,113494,1859093,True
rc91,2025,1967300,28,113494,1853806,True
td51,2025,1870534,29,113494,1757040,True
n0ae,2025,1810044,30,113494,1696550,True
mu94,2025,1795516,31,113494,1682022,True
gj37,2025,1790039,32,113494,1676545,True
f0fv,2025,1757190,33,113494,1643696,True
su87,2025,1661932,34,113494,1548438,True
hh26,2025,1635293,35,113494,1521799,True
d0fj,2025,1625077,36,113494,1511583,True
mw02,2025,1531710,37,113494,1418216,True
bt72,2025,1530329,38,113494,1416835,True
va25,2025,1527335,39,113494,1413841,True
p09z,2025,1517826,40,113494,1404332,True
ae14,2025,1481497,41,113494,1368003,True
m0qi,2025,1464283,42,113494,1350789,True
d0f6,2025,1449172,43,113494,1335678,True
mp20,2025,1421570,44,113494,1308076,True
m0ci,2025,1396753,45,113494,1283259,True
f0f1,2025,1392486,46,113494,1278992,True
b0bi,2025,1389187,47,113494,1275693,True
d875,2025,1384773,48,113494,1271279,True
bu13,2025,1382400,49,113494,1268906,True
ea24,2025,1352403,50,113494,1238909,True
ki95,2025,1323725,51,113494,1210231,True
gc88,2025,1286363,52,113494,1172869,True
o522,2025,1206054,53,113494,1092560,True
a0fc,2025,1198472,54,113494,1084978,True
m0gz,2025,1183294,55,113494,1069800,True
k0ah,2025,1182353,56,113494,1068859,True
sl28,2025,1179840,57,113494,1066346,True
hb71,2025,1148176,58,113494,1034682,True
me82,2025,1131765,59,113494,1018271,True
mc65,2025,1127483,60,113494,1013989,True
b0cd,2025,1123768,61,113494,1010274,True
mo44,2025,1110035,62,113494,996541,True
u182,2025,1107687,63,113494,994193,True
hb64,2025,1101437,64,113494,987943,True
bm95,2025,1094928,65,113494,981434,True
f0by,2025,1083542,66,113494,970048,True
bk40,2025,1066553,67,113494,953059,True
v832,2025,1066366,68,113494,952872,True
d923,2025,1050930,69,113494,937436,True
c0df,2025,1034833,70,113494,921339,True
tc61,2025,1028560,71,113494,915066,True
mq75,2025,1028360,72,113494,914866,True
bd06,2025,1019026,73,113494,905532,True
s0h2,2025,999899,74,113494,886405,True
n0bs,2025,980327,75,113494,866833,True
b0gg,2025,960120,76,113494,846626,True
te30,2025,945627,77,113494,832133,True
w09e,2025,922588,78,113494,809094,True
q02l,2025,899486,79,113494,785992,True
j551,2025,895466,80,113494,781972,True
y09v,2025,891149,81,113494,777655,True
k0az,2025,888532,82,113494,775038,True
v812,2025,877776,83,113494,764282,True
c977,2025,875926,84,113494,762432,True
gb88,2025,860325,85,113494,746831,True
m0jf,2025,845346,86,113494,731852,True
f724,2025,841448,87,113494,727954,True
o483,2025,824301,88,113494,710807,True
cd85,2025,823118,89,113494,709624,True
g09o,2025,818904,90,113494,705410,True
n0bg,2025,805793,91,113494,692299,True
c0h0,2025,798643,92,113494,685149,True
r0eb,2025,792576,93,113494,679082,True
b0nn,2025,787523,94,113494,674029,True
d0c1,2025,782722,95,113494,669228,True
a0gc,2025,781869,96,113494,668375,True
n732,2025,778759,97,113494,665265,True
h0bh,2025,773366,98,113494,659872,True
sx50,2025,741827,99,113494,628333,True
b0pg,2025,740406,100,113494,626912,True
cf59,2025,736645,101,113494,623151,True
o513,2025,732506,102,113494,619012,True
d994,2025,723695,103,113494,610201,True
mk66,2025,710040,104,113494,596546,True
s0n0,2025,690910,105,113494,577416,True
ki82,2025,674433,106,113494,560939,True
db63,2025,630259,107,113494,516765,True
c0jp,2025,597960,108,113494,484466,True
hd68,2025,594003,109,113494,480509,True
l987,2025,585624,110,113494,472130,True
bg23,2025,578777,111,113494,465283,True
h997,2025,573433,112,113494,459939,True
w0bh,2025,571699,113,113494,458205,True
m0hu,2025,568550,114,113494,455056,True
f0f2,2025,567313,115,113494,453819,True
b0ej,2025,560537,116,113494,447043,True
t0ap,2025,558312,117,113494,444818,True
l0il,2025,554126,118,113494,440632,True
da31,2025,552666,119,113494,439172,True
n0am,2025,552129,120,113494,438635,True
gd64,2025,545940,121,113494,432446,True
c0c8,2025,545736,122,113494,432242,True
p0ct,2025,535635,123,113494,422141,True
bv16,2025,524926,124,113494,411432,True
r0fs,2025,524069,125,113494,410575,True
m0jz,2025,514836,126,113494,401342,True
s0ja,2025,513825,127,113494,400331,True
g0gd,2025,508601,128,113494,395107,True
h09p,2025,494504,129,113494,381010,True
cg80,2025,480135,130,113494,366641,True
m0k4,2025,474383,131,113494,360889,True
w367,2025,464650,132,113494,351156,True
