player_id,years_on_tour,total_prize_usd_2025,first_year,last_year,NatlId,Nationality,name,annual_cost_2025,total_cost_2025,career_balance_2025
a09r,9,7647.0,2015,2023,TUR,Turkiye,Umut Akkoyun,113494,1021446,-1013799.0
a0a1,3,1387.0,2015,2022,EGY,Egypt,Mohamed Aboulkassem,113494,340482,-339095.0
a0a6,4,3457.0,2017,2023,POR,Portugal,Tomas Almeida,113494,453976,-450519.0
a0an,10,30600.0,2015,2024,TUR,Turkiye,Cengiz Aksu,113494,1134940,-1104340.0
a0ao,7,80180.0,2015,2021,RUS,Russia,Alen Avidzba,113494,794458,-714278.0
a0au,3,767.0,2016,2019,SWE,Sweden,Jakob Arvidsson Ehn,113494,340482,-339715.0
a0ay,3,3296.0,2016,2019,EGY,Egypt,Mohamed Abdel-Aziz,113494,340482,-337186.0
a0b6,9,73752.0,2016,2024,FRA,France,Jaimee Floyd Angele,113494,1021446,-947694.0
a0bd,6,6626.0,2016,2022,ITA,Italy,Gianluca Acquaroli,113494,680964,-674338.0
a0bg,6,12175.0,2016,2021,AUT,Austria,Jakob Aichhorn,113494,680964,-668789.0
a0bq,3,3047.0,2016,2019,NED,Netherlands,Amadatus Admiraal,113494,340482,-337435.0
a0br,4,826.0,2016,2022,FRA,France,Baptiste Anselmo,113494,453976,-453150.0
a0bs,4,2146.0,2017,2021,ESP,Spain,Mikel Aranzabal,113494,453976,-451830.0
a0by,5,19731.0,2016,2020,USA,United States,Alec Adamson,113494,567470,-547739.0
a0ca,4,2586.0,2016,2021,CHI,Chile,Nicolas Acevedo,113494,453976,-451390.0
a0ce,1,1315.0,2017,2017,POL,Poland,David Argasinski,113494,113494,-112179.0
a0ci,1,748.0,2017,2017,RUS,Russia,Iznaur Akhmaev,113494,113494,-112746.0
a0cp,4,7869.0,2017,2020,SLO,Slovenia,Anze Arh,113494,453976,-446107.0
a0cq,3,2709.0,2019,2021,ARG,Argentina,Juan Ignacio Alcalde,113494,340482,-337773.0
a0d0,2,2491.0,2019,2021,ARG,Argentina,Facundo Arias Bisso,113494,226988,-224497.0
a0dd,2,1470.0,2017,2018,AUT,Austria,Philip Aplienz,113494,226988,-225518.0
a0df,6,1972.0,2019,2024,RUS,Russia,Davud Amirov,113494,680964,-678992.0
a0dm,1,338.0,2017,2017,ESP,Spain,Jose Antonio Arcos Del Valle,113494,113494,-113156.0
a0dx,4,1865.0,2017,2021,RSA,South Africa,Robbie Arends,113494,453976,-452111.0
a0e3,4,8764.0,2018,2021,ESP,Spain,Francisco Andreu Garcia,113494,453976,-445212.0
a0ec,2,847.0,2021,2022,UKR,Ukraine,Nikita Alosha,113494,226988,-226141.0
a0en,2,1950.0,2022,2023,AUS,Australia,Cihan Akay,113494,226988,-225038.0
a0f4,2,719.0,2020,2021,ARG,Argentina,Benjamin L. Ambrosio,113494,226988,-226269.0
a0fu,2,3250.0,2022,2023,ALG,Algeria,Mohamed Ali Abibsi,113494,226988,-223738.0
a0fz,1,1044.0,2019,2019,USA,United States,Nevin Arimilli,113494,113494,-112450.0
a0g2,1,848.0,2019,2019,USA,United States,Leighton Allen,113494,113494,-112646.0
a0g4,3,1391.0,2019,2023,FIN,Finland,Oskar Antinheimo,113494,340482,-339091.0
