rank,player_name,age,points,n_tournaments,player_overview_url,player_activity_url,player_id
1,Carlos Alcaraz,22,12050,19,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/player-activity?matchType=Singles&year=2025&tournament=all,a0e2
2,Jannik Sinner,24,11500,18,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview,https://www.atptour.com/en/players/jannik-sinner/s0ag/player-activity?matchType=Singles&year=2025&tournament=all,s0ag
3,Alexander Zverev,28,5160,24,https://www.atptour.com/en/players/alexander-zverev/z355/overview,https://www.atptour.com/en/players/alexander-zverev/z355/player-activity?matchType=Singles&year=2025&tournament=all,z355
4,Novak Djokovic,38,4830,20,https://www.atptour.com/en/players/novak-djokovic/d643/overview,https://www.atptour.com/en/players/novak-djokovic/d643/player-activity?matchType=Singles&year=2025&tournament=all,d643
5,Felix Auger-Aliassime,25,4245,28,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/player-activity?matchType=Singles&year=2025&tournament=all,ag37
6,Taylor Fritz,28,4135,23,https://www.atptour.com/en/players/taylor-fritz/fb98/overview,https://www.atptour.com/en/players/taylor-fritz/fb98/player-activity?matchType=Singles&year=2025&tournament=all,fb98
7,Alex de Minaur,26,4135,23,https://www.atptour.com/en/players/alex-de-minaur/dh58/overview,https://www.atptour.com/en/players/alex-de-minaur/dh58/player-activity?matchType=Singles&year=2025&tournament=all,dh58
8,Lorenzo Musetti,23,4040,23,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/overview,https://www.atptour.com/en/players/lorenzo-musetti/m0ej/player-activity?matchType=Singles&year=2025&tournament=all,m0ej
9,Ben Shelton,23,3970,23,https://www.atptour.com/en/players/ben-shelton/s0s1/overview,https://www.atptour.com/en/players/ben-shelton/s0s1/player-activity?matchType=Singles&year=2025&tournament=all,s0s1
10,Jack Draper,23,2990,17,https://www.atptour.com/en/players/jack-draper/d0co/overview,https://www.atptour.com/en/players/jack-draper/d0co/player-activity?matchType=Singles&year=2025&tournament=all,d0co
11,Alexander Bublik,28,2870,29,https://www.atptour.com/en/players/alexander-bublik/bk92/overview,https://www.atptour.com/en/players/alexander-bublik/bk92/player-activity?matchType=Singles&year=2025&tournament=all,bk92
12,Casper Ruud,26,2835,21,https://www.atptour.com/en/players/casper-ruud/rh16/overview,https://www.atptour.com/en/players/casper-ruud/rh16/player-activity?matchType=Singles&year=2025&tournament=all,rh16
13,Daniil Medvedev,29,2760,24,https://www.atptour.com/en/players/daniil-medvedev/mm58/overview,https://www.atptour.com/en/players/daniil-medvedev/mm58/player-activity?matchType=Singles&year=2025&tournament=all,mm58
14,Alejandro Davidovich Fokina,26,2635,26,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/overview,https://www.atptour.com/en/players/alejandro-davidovich-fokina/dh50/player-activity?matchType=Singles&year=2025&tournament=all,dh50
15,Holger Rune,22,2590,21,https://www.atptour.com/en/players/holger-rune/r0dg/overview,https://www.atptour.com/en/players/holger-rune/r0dg/player-activity?matchType=Singles&year=2025&tournament=all,r0dg
16,Andrey Rublev,28,2520,26,https://www.atptour.com/en/players/andrey-rublev/re44/overview,https://www.atptour.com/en/players/andrey-rublev/re44/player-activity?matchType=Singles&year=2025&tournament=all,re44
17,Jiri Lehecka,24,2325,23,https://www.atptour.com/en/players/jiri-lehecka/l0bv/overview,https://www.atptour.com/en/players/jiri-lehecka/l0bv/player-activity?matchType=Singles&year=2025&tournament=all,l0bv
18,Karen Khachanov,29,2320,24,https://www.atptour.com/en/players/karen-khachanov/ke29/overview,https://www.atptour.com/en/players/karen-khachanov/ke29/player-activity?matchType=Singles&year=2025&tournament=all,ke29
19,Jakub Mensik,20,2180,23,https://www.atptour.com/en/players/jakub-mensik/m0ni/overview,https://www.atptour.com/en/players/jakub-mensik/m0ni/player-activity?matchType=Singles&year=2025&tournament=all,m0ni
