Entity,Code,Year,GDP per capita,900793-annotations
Brazil,BRA,1948,2096,
Brazil,BRA,1949,2204,
Brazil,BRA,1950,2236,
Brazil,BRA,1951,2279,
Brazil,BRA,1952,2377,
Brazil,BRA,1953,2418,
Brazil,BRA,1954,2531,
Brazil,BRA,1955,2675,
Brazil,BRA,1956,2672,
Brazil,BRA,1957,2793,
Brazil,BRA,1958,3005,
Brazil,BRA,1959,3201,
Brazil,BRA,1960,3398,
Brazil,BRA,1961,3585,
Brazil,BRA,1962,3711,
Brazil,BRA,1963,3623,
Brazil,BRA,1964,3637,
Brazil,BRA,1965,3617,
Brazil,BRA,1966,3747,
Brazil,BRA,1967,3795,
Brazil,BRA,1968,4050,
Brazil,BRA,1969,4313,
Brazil,BRA,1970,4635,
Brazil,BRA,1971,5024,
Brazil,BRA,1972,5480,
Brazil,BRA,1973,6086,
Brazil,BRA,1974,6416,
Brazil,BRA,1975,6582,
Brazil,BRA,1976,7079,
Brazil,BRA,1977,7248,
Brazil,BRA,1978,7425,
Brazil,BRA,1979,7736,
Brazil,BRA,1980,8249,
Brazil,BRA,1981,7709,
Brazil,BRA,1982,7587,
Brazil,BRA,1983,7203,
Brazil,BRA,1984,7438,
Brazil,BRA,1985,7862,
Brazil,BRA,1986,8281,
Brazil,BRA,1987,8402,
Brazil,BRA,1988,8230,
Brazil,BRA,1989,8333,
Brazil,BRA,1990,7842,
Brazil,BRA,1991,7888.0483,
Brazil,BRA,1992,7812.7944,
Brazil,BRA,1993,8166.2354,
Brazil,BRA,1994,8615.688,
Brazil,BRA,1995,8951.694,
Brazil,BRA,1996,9124.516,
Brazil,BRA,1997,9409.946,
Brazil,BRA,1998,9419.107,
Brazil,BRA,1999,9441.759,
Brazil,BRA,2000,9834.425,
Brazil,BRA,2001,9953.31,
Brazil,BRA,2002,10245.069,
Brazil,BRA,2003,10354.596,
Brazil,BRA,2004,10949.66,
Brazil,BRA,2005,11305.771,
Brazil,BRA,2006,11766.605,
Brazil,BRA,2007,12500.007,
Brazil,BRA,2008,13164.012,
Brazil,BRA,2009,13180.891,
Brazil,BRA,2010,14215.612,
Brazil,BRA,2011,14831,
Brazil,BRA,2012,14985.498,
Brazil,BRA,2013,15305.414,
Brazil,BRA,2014,15251.89,
Brazil,BRA,2015,14583.982,
Brazil,BRA,2016,13990.646,
Brazil,BRA,2017,14062.75,
Brazil,BRA,2018,14197.55,
Brazil,BRA,2019,14257.871,
Brazil,BRA,2020,13685.926,
Brazil,BRA,2021,14292.936,
Brazil,BRA,2022,14640.076,
Chile,CHL,1948,5939,
Chile,CHL,1949,5710,
Chile,CHL,1950,5880,
Chile,CHL,1951,6001,
Chile,CHL,1952,6252,
Chile,CHL,1953,6582,
Chile,CHL,1954,6237,
Chile,CHL,1955,6341,
Chile,CHL,1956,6285,
Chile,CHL,1957,6758,
Chile,CHL,1958,6958,
Chile,CHL,1959,6409,
Chile,CHL,1960,6781,
Chile,CHL,1961,6923,
Chile,CHL,1962,7071,
Chile,CHL,1963,7336,
Chile,CHL,1964,7320,
Chile,CHL,1965,7208,
Chile,CHL,1966,7844,
Chile,CHL,1967,7933,
Chile,CHL,1968,8053,
Chile,CHL,1969,8187,
Chile,CHL,1970,8195,
Chile,CHL,1971,8773,
Chile,CHL,1972,8520,
Chile,CHL,1973,7911,
Chile,CHL,1974,7857,
Chile,CHL,1975,6731,
Chile,CHL,1976,6868,
Chile,CHL,1977,7438,
Chile,CHL,1978,7936,
Chile,CHL,1979,8475,
Chile,CHL,1980,9024,
Chile,CHL,1981,9427,
