Entity,Code,Year,Productivity: output per hour worked
Brazil,BRA,1950,2.6580622
Brazil,BRA,1951,2.6445198
Brazil,BRA,1952,2.8321826
Brazil,BRA,1953,2.840017
Brazil,BRA,1954,2.9806578
Brazil,BRA,1955,3.097796
Brazil,BRA,1956,3.1067822
Brazil,BRA,1957,3.2615092
Brazil,BRA,1958,3.3411016
Brazil,BRA,1959,3.3707
Brazil,BRA,1960,3.5729108
Brazil,BRA,1961,3.970823
Brazil,BRA,1962,4.1640086
Brazil,BRA,1963,4.324041
Brazil,BRA,1964,4.403841
Brazil,BRA,1965,4.5564365
Brazil,BRA,1966,4.644213
Brazil,BRA,1967,4.898555
Brazil,BRA,1968,5.256257
Brazil,BRA,1969,5.182735
Brazil,BRA,1970,5.7347217
Brazil,BRA,1971,6.106968
Brazil,BRA,1972,6.559861
Brazil,BRA,1973,6.6004715
Brazil,BRA,1974,7.076144
Brazil,BRA,1975,7.215088
Brazil,BRA,1976,7.658524
Brazil,BRA,1977,7.1707087
Brazil,BRA,1978,7.2422905
Brazil,BRA,1979,7.915856
Brazil,BRA,1980,7.489469
Brazil,BRA,1981,8.109056
Brazil,BRA,1982,7.844945
Brazil,BRA,1983,7.56964
Brazil,BRA,1984,7.6515555
Brazil,BRA,1985,7.5619655
Brazil,BRA,1986,8.29846
Brazil,BRA,1987,8.256027
Brazil,BRA,1988,8.033914
Brazil,BRA,1989,8.239551
Brazil,BRA,1990,7.8430142
Brazil,BRA,1991,8.4976425
Brazil,BRA,1992,8.7095375
Brazil,BRA,1993,9.376981
Brazil,BRA,1994,10.456339
Brazil,BRA,1995,12.240183
Brazil,BRA,1996,15.01384
Brazil,BRA,1997,14.363874
Brazil,BRA,1998,13.839823
Brazil,BRA,1999,12.9208555
Brazil,BRA,2000,12.489104
Brazil,BRA,2001,12.356733
Brazil,BRA,2002,12.234266
Brazil,BRA,2003,11.989907
Brazil,BRA,2004,12.04281
Brazil,BRA,2005,12.276319
Brazil,BRA,2006,12.995927
Brazil,BRA,2007,14.311291
Brazil,BRA,2008,15.594543
Brazil,BRA,2009,16.711393
Brazil,BRA,2010,18.358423
Brazil,BRA,2011,20.073565
Brazil,BRA,2012,19.9987
Brazil,BRA,2013,19.691858
Brazil,BRA,2014,19.440182
Brazil,BRA,2015,18.425562
Brazil,BRA,2016,17.969023
Brazil,BRA,2017,18.362206
Brazil,BRA,2018,18.884848
Brazil,BRA,2019,19.152273
Brazil,BRA,2020,21.786406
Brazil,BRA,2021,20.220608
Brazil,BRA,2022,19.474848
Brazil,BRA,2023,19.95744
Chile,CHL,1951,6.3232145
Chile,CHL,1952,6.8188605
Chile,CHL,1953,6.8507123
Chile,CHL,1954,7.422566
Chile,CHL,1955,7.1715746
Chile,CHL,1956,7.0421796
Chile,CHL,1957,7.5785165
Chile,CHL,1958,7.797632
Chile,CHL,1959,7.8092175
Chile,CHL,1960,8.200655
Chile,CHL,1961,7.8503838
Chile,CHL,1962,9.77456
Chile,CHL,1963,10.11511
Chile,CHL,1964,10.3746605
Chile,CHL,1965,9.852619
Chile,CHL,1966,10.739054
Chile,CHL,1967,12.027088
Chile,CHL,1968,11.652254
Chile,CHL,1969,12.104663
Chile,CHL,1970,12.736572
Chile,CHL,1971,13.218885
Chile,CHL,1972,12.579678
Chile,CHL,1973,12.274743
Chile,CHL,1974,12.352875
Chile,CHL,1975,10.566433
Chile,CHL,1976,10.688353
Chile,CHL,1977,11.206259
Chile,CHL,1978,11.777471
Chile,CHL,1979,12.322819
Chile,CHL,1980,12.347094
Chile,CHL,1981,12.43097
Chile,CHL,1982,11.631956
Chile,CHL,1983,10.488575
Chile,CHL,1984,10.381391
Chile,CHL,1985,9.930942
Chile,CHL,1986,8.999759
Chile,CHL,1987,9.519868
Chile,CHL,1988,10.16236
Chile,CHL,1989,10.688225
Chile,CHL,1990,10.627448
Chile,CHL,1991,11.361919
Chile,CHL,1992,12.303191
Chile,CHL,1993,13.114415
Chile,CHL,1994,14.512706
Chile,CHL,1995,16.344078
Chile,CHL,1996,16.965132
Chile,CHL,1997,17.206074
Chile,CHL,1998,16.32648
Chile,CHL,1999,15.881735
Chile,CHL,2000,16.072504
Chile,CHL,2001,15.915101
Chile,CHL,2002,15.618626
Chile,CHL,2003,16.125267
Chile,CHL,2004,17.479486
Chile,CHL,2005,19.48057
Chile,CHL,2006,22.0159
Chile,CHL,2007,23.69634
Chile,CHL,2008,23.327753
Chile,CHL,2009,23.613308
Chile,CHL,2010,26.699575
Chile,CHL,2011,29.014107
Chile,CHL,2012,30.161224
Chile,CHL,2013,30.158035
Chile,CHL,2014,31.00204
Chile,CHL,2015,30.265446
Chile,CHL,2016,30.035727
Chile,CHL,2017,31.151522
Chile,CHL,2018,31.849947
Chile,CHL,2019,31.90617
Chile,CHL,2020,36.512775
Chile,CHL,2021,34.831936
Chile,CHL,2022,32.37638
Chile,CHL,2023,32.017334
China,CHN,1952,0.50352126
China,CHN,1953,0.5280399
China,CHN,1954,0.5332932
China,CHN,1955,0.5313317
China,CHN,1956,0.55289006
China,CHN,1957,0.55948764
China,CHN,1958,0.55898005
China,CHN,1959,0.51997596
China,CHN,1960,0.5917165
China,CHN,1961,0.5288869
China,CHN,1962,0.5503502
China,CHN,1963,0.5598834
China,CHN,1964,0.61575925
China,CHN,1965,0.6761342
China,CHN,1966,0.707887
China,CHN,1967,0.67365664
China,CHN,1968,0.62512565
China,CHN,1969,0.655309
China,CHN,1970,0.6897339
China,CHN,1971,0.71254194
China,CHN,1972,0.71916765
China,CHN,1973,0.7577086
China,CHN,1974,0.7571955
China,CHN,1975,0.7855423
China,CHN,1976,0.7509302
China,CHN,1977,0.79265386
China,CHN,1978,0.87405145
China,CHN,1979,0.89695245
China,CHN,1980,0.9160369
China,CHN,1981,0.90193015
China,CHN,1982,0.92329454
China,CHN,1983,0.9985979
China,CHN,1984,1.1408094
China,CHN,1985,1.2886107
China,CHN,1986,1.3471484
China,CHN,1987,1.4340891
China,CHN,1988,1.5294375
China,CHN,1989,1.5231005
China,CHN,1990,1.5250864
China,CHN,1991,1.6451836
China,CHN,1992,1.8713093
China,CHN,1993,2.1127315
China,CHN,1994,2.3124347
China,CHN,1995,2.5046108
China,CHN,1996,2.7279365
China,CHN,1997,2.8579865
China,CHN,1998,3.0277374
China,CHN,1999,3.2503235
China,CHN,2000,3.5005732
China,CHN,2001,3.759835
China,CHN,2002,4.0382023
China,CHN,2003,4.391763
China,CHN,2004,4.851698
China,CHN,2005,5.267778
China,CHN,2006,5.6809525
China,CHN,2007,6.485825
China,CHN,2008,7.0976367
China,CHN,2009,7.616226
China,CHN,2010,8.044041
China,CHN,2011,8.914549
China,CHN,2012,9.499309
China,CHN,2013,9.730016
China,CHN,2014,10.327312
China,CHN,2015,10.865309
China,CHN,2016,11.403435
China,CHN,2017,12.222228
China,CHN,2018,13.1396885
China,CHN,2019,14.174832
China,CHN,2020,15.131998
China,CHN,2021,16.498594
China,CHN,2022,16.89764
China,CHN,2023,17.692911
Germany,DEU,1950,5.398649
Germany,DEU,1951,5.926178
Germany,DEU,1952,6.420325
Germany,DEU,1953,6.8780117
Germany,DEU,1954,7.326603
Germany,DEU,1955,8.156726
Germany,DEU,1956,8.709182
Germany,DEU,1957,9.135589
Germany,DEU,1958,9.47551
Germany,DEU,1959,10.272338
Germany,DEU,1960,11.210408
Germany,DEU,1961,11.691195
Germany,DEU,1962,12.299276
