date;money_supply
01-01-1959;286.6
01-02-1959;287.7
01-03-1959;289.2
01-04-1959;290.1
01-05-1959;292.2
01-06-1959;294.1
01-07-1959;295.2
01-08-1959;296.4
01-09-1959;296.7
01-10-1959;296.5
01-11-1959;297.1
01-12-1959;297.8
01-01-1960;298.2
01-02-1960;298.4
01-03-1960;299.3
01-04-1960;300.1
01-05-1960;300.9
01-06-1960;302.3
01-07-1960;304.1
01-08-1960;306.9
01-09-1960;308.4
01-10-1960;309.5
01-11-1960;310.9
01-12-1960;312.4
01-01-1961;314.1
01-02-1961;316.5
01-03-1961;318.3
01-04-1961;319.9
01-05-1961;322.2
01-06-1961;324.3
01-07-1961;325.6
01-08-1961;327.6
01-09-1961;329.5
01-10-1961;331.1
01-11-1961;333.4
01-12-1961;335.5
01-01-1962;337.5
01-02-1962;340.1
01-03-1962;343.1
01-04-1962;345.5
01-05-1962;347.5
01-06-1962;349.3
01-07-1962;350.8
01-08-1962;352.8
01-09-1962;354.9
01-10-1962;357.2
01-11-1962;359.8
01-12-1962;362.7
01-01-1963;365.2
01-02-1963;367.9
01-03-1963;370.7
01-04-1963;373.3
01-05-1963;376.1
01-06-1963;378.4
01-07-1963;381.1
01-08-1963;383.6
01-09-1963;386.0
01-10-1963;388.3
01-11-1963;391.5
01-12-1963;393.2
01-01-1964;395.2
01-02-1964;397.6
01-03-1964;399.8
01-04-1964;401.7
01-05-1964;404.2
01-06-1964;407.1
01-07-1964;410.1
01-08-1964;413.4
01-09-1964;416.9
01-10-1964;419.1
01-11-1964;422.0
01-12-1964;424.7
01-01-1965;427.5
01-02-1965;430.4
01-03-1965;433.2
01-04-1965;435.4
01-05-1965;437.1
01-06-1965;440.1
01-07-1965;442.9
01-08-1965;445.8
01-09-1965;449.5
01-10-1965;452.6
01-11-1965;455.7
01-12-1965;459.2
01-01-1966;462.0
01-02-1966;464.6
01-03-1966;467.2
01-04-1966;469.3
01-05-1966;470.1
01-06-1966;471.2
01-07-1966;470.9
01-08-1966;472.6
01-09-1966;475.4
01-10-1966;475.7
01-11-1966;477.3
01-12-1966;480.2
01-01-1967;481.6
01-02-1967;485.1
01-03-1967;489.7
01-04-1967;492.1
01-05-1967;497.2
01-06-1967;502.0
01-07-1967;506.3
01-08-1967;510.8
01-09-1967;514.7
01-10-1967;518.2
01-11-1967;521.2
01-12-1967;524.8
01-01-1968;527.4
01-02-1968;530.4
01-03-1968;533.2
01-04-1968;535.7
01-05-1968;538.9
01-06-1968;542.6
01-07-1968;545.6
01-08-1968;549.4
01-09-1968;553.6
01-10-1968;557.6
01-11-1968;562.4
01-12-1968;566.8
01-01-1969;569.3
01-02-1969;571.9
01-03-1969;574.4
01-04-1969;575.7
01-05-1969;576.5
01-06-1969;578.5
01-07-1969;579.5
01-08-1969;580.1
01-09-1969;582.1
01-10-1969;583.4
01-11-1969;585.4
01-12-1969;587.9
01-01-1970;589.6
01-02-1970;586.3
01-03-1970;587.3
01-04-1970;588.4
01-05-1970;591.5
01-06-1970;595.2
01-07-1970;599.1
01-08-1970;604.9
01-09-1970;611.2
01-10-1970;616.4
01-11-1970;621.1
01-12-1970;626.5
01-01-1971;632.9
01-02-1971;641.0
01-03-1971;649.9
01-04-1971;658.4
01-05-1971;666.7
01-06-1971;673.0
01-07-1971;679.6
01-08-1971;685.5
01-09-1971;692.5
01-10-1971;698.4
01-11-1971;704.6
01-12-1971;710.3
01-01-1972;717.7
01-02-1972;725.7
01-03-1972;733.5
01-04-1972;738.4
01-05-1972;743.3
01-06-1972;749.7
01-07-1972;759.5
01-08-1972;768.7
01-09-1972;778.3
01-10-1972;786.9
01-11-1972;793.9
01-12-1972;802.3
01-01-1973;810.3
01-02-1973;814.1
01-03-1973;815.3
01-04-1973;819.7
01-05-1973;826.8
01-06-1973;833.3
01-07-1973;836.5
01-08-1973;838.8
01-09-1973;839.3
01-10-1973;842.6
01-11-1973;848.9
01-12-1973;855.5
01-01-1974;859.7
01-02-1974;864.2
01-03-1974;870.1
01-04-1974;872.9
01-05-1974;874.6
01-06-1974;877.8
01-07-1974;881.4
01-08-1974;884.1
01-09-1974;887.9
01-10-1974;893.3
01-11-1974;898.6
01-12-1974;902.1
01-01-1975;906.3
01-02-1975;914.1
01-03-1975;925.0
01-04-1975;935.1
01-05-1975;947.9
01-06-1975;963.0
01-07-1975;975.1
01-08-1975;983.1
01-09-1975;991.5
01-10-1975;997.8
01-11-1975;1006.9
01-12-1975;1016.2
01-01-1976;1026.6
01-02-1976;1040.3
01-03-1976;1050.0
01-04-1976;1060.8
01-05-1976;1072.1
01-06-1976;1077.6
01-07-1976;1086.3
01-08-1976;1098.7
01-09-1976;1110.8
01-10-1976;1125.0
01-11-1976;1138.2
01-12-1976;1152.0
01-01-1977;1165.2
01-02-1977;1177.6
01-03-1977;1188.5
01-04-1977;1199.6
01-05-1977;1209.0
01-06-1977;1217.8
01-07-1977;1226.7
01-08-1977;1237.0
01-09-1977;1246.2
01-10-1977;1254.0
01-11-1977;1262.4
01-12-1977;1270.3
01-01-1978;1279.7
01-02-1978;1285.5
01-03-1978;1292.2
01-04-1978;1300.4
01-05-1978;1310.5
01-06-1978;1318.5
01-07-1978;1324.1
01-08-1978;1333.5
01-09-1978;1345.0
01-10-1978;1352.3
01-11-1978;1359.1
01-12-1978;1366.0
01-01-1979;1371.6
01-02-1979;1377.8
01-03-1979;1387.8
01-04-1979;1402.1
01-05-1979;1410.2
01-06-1979;1423.0
01-07-1979;1434.8
01-08-1979;1446.6
01-09-1979;1454.1
01-10-1979;1460.4
01-11-1979;1465.9
01-12-1979;1473.7
01-01-1980;1482.7
01-02-1980;1494.6
01-03-1980;1499.8
01-04-1980;1502.2
01-05-1980;1512.3
01-06-1980;1529.2
01-07-1980;1545.5
01-08-1980;1561.5
01-09-1980;1574.0
01-10-1980;1584.8
01-11-1980;1595.8
01-12-1980;1599.8
01-01-1981;1606.9
01-02-1981;1618.7
01-03-1981;1636.6
01-04-1981;1659.2
01-05-1981;1664.2
01-06-1981;1670.3
01-07-1981;1681.9
01-08-1981;1694.3
01-09-1981;1706.0
01-10-1981;1721.8
01-11-1981;1736.1
01-12-1981;1755.5
01-01-1982;1770.4
01-02-1982;1774.5
01-03-1982;1786.5
01-04-1982;1803.9
01-05-1982;1815.4
01-06-1982;1826.0
01-07-1982;1831.5
01-08-1982;1845.2
01-09-1982;1858.4
01-10-1982;1869.7
01-11-1982;1883.7
01-12-1982;1905.9
01-01-1983;1959.4
01-02-1983;1996.8
01-03-1983;2015.2
01-04-1983;2028.6
01-05-1983;2043.1
01-06-1983;2053.5
01-07-1983;2064.8
01-08-1983;2074.0
01-09-1983;2083.2
01-10-1983;2099.2
01-11-1983;2112.3
01-12-1983;2123.5
01-01-1984;2138.2
01-02-1984;2158.2
01-03-1984;2175.2
01-04-1984;2191.7
01-05-1984;2204.1
01-06-1984;2215.1
01-07-1984;2223.5
01-08-1984;2230.4
01-09-1984;2244.4
01-10-1984;2258.9
01-11-1984;2281.4
01-12-1984;2306.4
01-01-1985;2332.4
01-02-1985;2354.1
01-03-1985;2366.2
01-04-1985;2375.4
01-05-1985;2389.5
01-06-1985;2412.6
01-07-1985;2429.5
01-08-1985;2444.0
01-09-1985;2456.4
01-10-1985;2468.0
01-11-1985;2477.8
01-12-1985;2492.1
01-01-1986;2502.1
01-02-1986;2512.9
01-03-1986;2533.1
01-04-1986;2557.8
01-05-1986;2584.8
01-06-1986;2605.0
01-07-1986;2626.6
01-08-1986;2646.5
01-09-1986;2667.8
01-10-1986;2687.4
01-11-1986;2701.3
01-12-1986;2728.0
01-01-1987;2743.9
01-02-1987;2747.5
01-03-1987;2753.7
01-04-1987;2767.7
01-05-1987;2772.9
01-06-1987;2774.6
01-07-1987;2779.0
01-08-1987;2788.2
01-09-1987;2799.5
01-10-1987;2814.8
01-11-1987;2818.9
01-12-1987;2826.4
01-01-1988;2847.4
01-02-1988;2870.4
01-03-1988;2890.7
01-04-1988;2910.7
01-05-1988;2926.0
01-06-1988;2938.4
01-07-1988;2947.2
01-08-1988;2952.0
01-09-1988;2956.9
01-10-1988;2965.3
01-11-1988;2980.2
01-12-1988;2988.2
01-01-1989;2991.7
01-02-1989;2992.2
01-03-1989;2999.7
01-04-1989;3006.0
01-05-1989;3011.6
01-06-1989;3027.9
01-07-1989;3052.4
01-08-1989;3074.4
01-09-1989;3092.5
01-10-1989;3114.1
01-11-1989;3133.3
01-12-1989;3152.5
01-01-1990;3166.8
01-02-1990;3179.2
01-03-1990;3190.1
01-04-1990;3201.6
01-05-1990;3200.6
01-06-1990;3213.7
01-07-1990;3224.5
01-08-1990;3242.0
01-09-1990;3254.6
01-10-1990;3259.3
01-11-1990;3262.6
01-12-1990;3271.8
01-01-1991;3287.7
01-02-1991;3304.5
01-03-1991;3321.9
01-04-1991;3332.4
01-05-1991;3343.0
01-06-1991;3351.9
01-07-1991;3356.1
01-08-1991;3355.0
01-09-1991;3354.9
01-10-1991;3360.1
01-11-1991;3365.5
01-12-1991;3372.2
01-01-1992;3381.2
01-02-1992;3400.0
01-03-1992;3403.9
01-04-1992;3399.7
01-05-1992;3398.6
01-06-1992;3393.4
01-07-1992;3393.9
01-08-1992;3398.8
01-09-1992;3410.3
01-10-1992;3423.8
01-11-1992;3426.5
01-12-1992;3424.7
01-01-1993;3419.1
01-02-1993;3414.5
01-03-1993;3411.7
01-04-1993;3411.3
01-05-1993;3436.9
01-06-1993;3442.4
01-07-1993;3442.0
01-08-1993;3445.7
01-09-1993;3452.2
01-10-1993;3456.7
01-11-1993;3470.1
01-12-1993;3474.5
01-01-1994;3474.9
01-02-1994;3475.7
01-03-1994;3480.1
01-04-1994;3481.3
01-05-1994;3490.8
01-06-1994;3479.5
01-07-1994;3488.2
01-08-1994;3485.7
01-09-1994;3486.1
01-10-1994;3484.3
01-11-1994;3487.2
01-12-1994;3486.4
01-01-1995;3492.4
01-02-1995;3489.9
01-03-1995;3491.1
01-04-1995;3499.2
01-05-1995;3524.2
01-06-1995;3548.9
01-07-1995;3567.4
01-08-1995;3589.0
01-09-1995;3602.1
01-10-1995;3613.4
01-11-1995;3619.9
01-12-1995;3629.5
01-01-1996;3647.9
01-02-1996;3661.8
01-03-1996;3686.9
01-04-1996;3697.7
01-05-1996;3709.6
01-06-1996;3722.5
01-07-1996;3737.1
01-08-1996;3744.0
01-09-1996;3753.4
01-10-1996;3772.8
01-11-1996;3795.1
01-12-1996;3818.6
01-01-1997;3834.6
01-02-1997;3846.3
01-03-1997;3861.2
01-04-1997;3877.0
01-05-1997;3889.2
01-06-1997;3906.0
01-07-1997;3923.9
01-08-1997;3957.4
01-09-1997;3973.1
01-10-1997;3992.3
01-11-1997;4014.8
01-12-1997;4032.9
01-01-1998;4056.2
01-02-1998;4088.9
01-03-1998;4114.3
01-04-1998;4140.2
01-05-1998;4164.4
01-06-1998;4184.1
01-07-1998;4203.8
01-08-1998;4228.7
01-09-1998;4267.7
01-10-1998;4307.9
01-11-1998;4346.6
01-12-1998;4375.6
01-01-1999;4403.0
01-02-1999;4425.8
01-03-1999;4432.6
01-04-1999;4461.4
01-05-1999;4486.1
01-06-1999;4508.0
01-07-1999;4535.4
01-08-1999;4552.7
01-09-1999;4568.8
01-10-1999;4592.7
01-11-1999;4611.8
01-12-1999;4639.3
01-01-2000;4667.6
01-02-2000;4680.9
01-03-2000;4711.7
01-04-2000;4767.8
01-05-2000;4755.7
01-06-2000;4773.6
01-07-2000;4791.3
01-08-2000;4819.5
01-09-2000;4855.3
01-10-2000;4871.4
01-11-2000;4882.8
01-12-2000;4927.7
01-01-2001;4978.4
01-02-2001;5017.1
01-03-2001;5074.9
01-04-2001;5139.2
01-05-2001;5137.3
01-06-2001;5180.3
01-07-2001;5210.2
01-08-2001;5243.9
01-09-2001;5355.3
01-10-2001;5344.0
01-11-2001;5387.7
01-12-2001;5440.7
01-01-2002;5461.1
01-02-2002;5490.4
01-03-2002;5502.2
01-04-2002;5502.3
01-05-2002;5528.5
01-06-2002;5553.5
01-07-2002;5596.2
01-08-2002;5638.4
01-09-2002;5662.5
01-10-2002;5707.2
01-11-2002;5758.2
01-12-2002;5779.5
01-01-2003;5812.3
01-02-2003;5848.4
01-03-2003;5868.6
01-04-2003;5905.7
01-05-2003;5965.5
01-06-2003;6002.4
01-07-2003;6049.4
01-08-2003;6107.3
01-09-2003;6079.9
01-10-2003;6070.2
01-11-2003;6075.7
01-12-2003;6074.0
01-01-2004;6082.2
01-02-2004;6121.9
01-03-2004;6158.0
01-04-2004;6199.1
01-05-2004;6275.9
01-06-2004;6278.1
01-07-2004;6291.3
01-08-2004;6317.9
01-09-2004;6352.3
01-10-2004;6379.9
01-11-2004;6406.5
01-12-2004;6424.7
01-01-2005;6431.0
01-02-2005;6439.1
01-03-2005;6448.4
01-04-2005;6462.0
01-05-2005;6479.2
01-06-2005;6511.8
01-07-2005;6543.7
01-08-2005;6576.5
01-09-2005;6610.3
01-10-2005;6644.1
01-11-2005;6660.8
01-12-2005;6688.0
01-01-2006;6730.3
01-02-2006;6754.9
01-03-2006;6769.5
01-04-2006;6807.0
01-05-2006;6813.9
01-06-2006;6852.1
01-07-2006;6893.9
01-08-2006;6925.3
01-09-2006;6952.6
01-10-2006;7002.0
01-11-2006;7037.5
01-12-2006;7080.4
01-01-2007;7118.5
01-02-2007;7134.6
01-03-2007;7168.5
01-04-2007;7241.0
01-05-2007;7254.9
01-06-2007;7288.1
01-07-2007;7319.0
01-08-2007;7395.1
01-09-2007;7413.3
01-10-2007;7428.4
01-11-2007;7453.8
01-12-2007;7484.2
01-01-2008;7517.8
01-02-2008;7604.2
01-03-2008;7670.3
01-04-2008;7712.8
01-05-2008;7725.5
01-06-2008;7744.2
01-07-2008;7791.5
01-08-2008;7806.1
01-09-2008;7872.7
01-10-2008;7975.3
01-11-2008;8027.3
01-12-2008;8205.0
01-01-2009;8289.4
01-02-2009;8319.6
01-03-2009;8386.7
01-04-2009;8391.4
01-05-2009;8449.5
01-06-2009;8459.5
01-07-2009;8463.8
01-08-2009;8463.3
01-09-2009;8461.8
01-10-2009;8488.1
01-11-2009;8517.3
01-12-2009;8512.5
01-01-2010;8478.0
01-02-2010;8527.6
01-03-2010;8523.7
01-04-2010;8555.1
01-05-2010;8609.3
01-06-2010;8628.4
