rank,player_name,age,points,n_tournaments,diff_rank_three
1,Carlos Alcaraz,22,12050,19,6890
2,Jannik Sinner,24,11500,18,6340
3,Alexander Zverev,28,5160,24,0
4,Novak Djokovic,38,4830,20,330
5,Felix Auger-Aliassime,25,4245,28,915
6,Taylor Fritz,28,4135,23,1025
7,Alex de Minaur,26,4135,23,1025
8,Lorenzo Musetti,23,4040,23,1120
9,Ben Shelton,23,3970,23,1190
10,Jack Draper,23,2990,17,2170
11,Alexander Bublik,28,2870,29,2290
12,Casper Ruud,26,2835,21,2325
13,Daniil Medvedev,29,2760,24,2400
14,Alejandro Davidovich Fokina,26,2635,26,2525
15,Holger Rune,22,2590,21,2570
16,Andrey Rublev,28,2520,26,2640
17,Jiri Lehecka,24,2325,23,2835
18,Karen Khachanov,29,2320,24,2840
19,Jakub Mensik,20,2180,23,2980
20,Tommy Paul,28,2100,20,3060
21,Francisco Cerundolo,27,2085,24,3075
22,Flavio Cobolli,23,2025,30,3135
23,Denis Shapovalov,26,1675,24,3485
24,Joao Fonseca,19,1635,21,3525
25,Tallon Griekspoor,29,1615,27,3545
26,Luciano Darderi,23,1609,35,3551
27,Cameron Norrie,30,1573,27,3587
28,Learner Tien,20,1550,25,3610
29,Arthur Rinderknech,30,1540,31,3620
30,Frances Tiafoe,27,1510,22,3650
31,Valentin Vacherot,27,1483,23,3677
32,Tomas Machac,25,1445,20,3715
33,Brandon Nakashima,24,1430,30,3730
34,Stefanos Tsitsipas,27,1425,21,3735
35,Corentin Moutet,26,1408,27,3752
36,Jaume Munar,28,1395,25,3765
37,Ugo Humbert,27,1380,23,3780
38,Alex Michelsen,21,1325,27,3835
39,Lorenzo Sonego,30,1265,29,3895
40,Arthur Fils,21,1260,18,3900
41,Gabriel Diallo,24,1253,25,3907
42,Alexandre Muller,28,1230,30,3930
43,Zizou Bergs,26,1218,27,3942
44,Grigor Dimitrov,34,1180,18,3980
45,Sebastian Baez,24,1155,29,4005
46,Daniel Altmaier,27,1148,31,4012
47,Nuno Borges,28,1145,30,4015
48,Sebastian Korda,25,1100,23,4060
49,Camilo Ugo Carabelli,26,1053,28,4107
50,Reilly Opelka,28,1026,26,4134
51,Fabian Marozsan,26,1025,24,4135
52,Miomir Kecmanovic,26,1025,30,4135
53,Jenson Brooksby,25,1017,22,4143
54,Alexei Popyrin,26,1000,25,4160
55,Marton Fucsovics,33,963,20,4197
56,Matteo Berrettini,29,945,21,4215
57,Valentin Royer,24,936,28,4224
58,Giovanni Mpetshi Perricard,22,925,27,4235
59,Tomas Martin Etcheverry,26,920,33,4240
60,Aleksandar Kovacevic,27,890,32,4270
61,Matteo Arnaldi,24,883,25,4277
62,Kamil Majchrzak,29,861,20,4299
63,Terence Atmane,23,855,25,4305
64,Marcos Giron,32,855,28,4305
65,Damir Dzumhur,33,850,31,4310
66,Arthur Cazaux,23,848,22,4312
67,Francisco Comesana,25,845,24,4315
68,Gael Monfils,39,825,20,4335
69,Adrian Mannarino,37,817,25,4343
70,Ethan Quinn,21,802,25,4358
71,Jacob Fearnley,24,787,26,4373
72,Mariano Navone,24,785,30,4375
73,Hubert Hurkacz,28,775,20,4385
74,Mattia Bellucci,24,766,26,4394
75,Marin Cilic,37,765,19,4395
76,Jesper de Jong,25,763,24,4397
77,Botic van de Zandschulp,30,756,25,4404
78,Adam Walton,26,740,28,4420
79,Filip Misolic,24,726,25,4434
80,Cristian Garin,29,726,21,4434
81,Alejandro Tabilo,28,721,28,4439
82,Aleksandar Vukic,29,718,31,4442
83,Hamad Medjedovic,22,718,20,4442
84,Jan-Lennard Struff,35,711,29,4449
85,Juan Manuel Cerundolo,24,710,26,4450
86,James Duckworth,33,704,27,4456
87,Raphael Collignon,23,704,23,4456
88,Emilio Nava,24,684,28,4476
89,Pablo Carreno Busta,34,681,26,4479
90,Eliot Spizzirri,23,680,29,4480
91,Quentin Halys,29,679,29,4481
92,Roberto Bautista Agut,37,670,24,4490
93,Pedro Martinez,28,668,32,4492
94,Benjamin Bonzi,29,667,24,4493
95,Alexander Shevchenko,25,662,27,4498
96,Dalibor Svrcina,23,661,26,4499
97,Hugo Gaston,25,653,30,4507
98,Laslo Djere,30,652,25,4508
99,Tristan Schoolkate,24,649,32,4511
100,Shintaro Mochizuki,22,647,27,4513
101,Vit Kopriva,28,636,28,4524
102,Carlos Taberner,28,636,27,4524
103,Yannick Hanfmann,34,631,22,4529
104,Ignacio Buse,21,627,26,4533
105,Roman Andres Burruchaga,23,615,30,4545
106,Thiago Agustin Tirante,24,612,28,4548
107,Luca Nardi,22,599,24,4561
108,Jordan Thompson,31,586,22,4574
109,Nikoloz Basilashvili,33,573,23,4587
110,Yoshihito Nishioka,30,566,26,4594
111,Tomas Barrios Vera,28,564,28,4596
112,Mackenzie McDonald,30,559,27,4601
113,Brandon Holt,27,559,30,4601
114,Rinky Hijikata,24,556,30,4604
115,Christopher O'Connell,31,546,25,4614
116,Alexander Blockx,20,542,26,4618
117,Borna Coric,29,538,17,4622
118,Patrick Kypson,26,533,17,4627
119,David Goffin,35,525,27,4635
120,Dusan Lajovic,35,519,29,4641
121,Elmer Moller,22,517,25,4643
122,Yunchaokete Bu,23,509,29,4651
123,Nicolas Jarry,30,501,24,4659
124,Chun-Hsin Tseng,24,498,23,4662
125,Jan Choinski,29,498,27,4662
126,Billy Harris,30,490,31,4670
127,Otto Virtanen,24,488,22,4672
128,Dino Prizmic,20,487,15,4673
129,Marco Trungelliti,35,474,25,4686
130,Roberto Carballes Baena,32,469,26,4691
131,Vilius Gaubas,20,469,26,4691
132,Liam Draxl,24,468,23,4692
133,Sebastian Ofner,29,463,19,4697
134,Martin Landaluce,19,455,25,4705
135,Moez Echargui,32,452,31,4708
136,Nicolai Budkov Kjaer,19,450,27,4710
137,Francesco Passaro,24,449,26,4711
138,Kyrian Jacquet,24,442,21,4718
139,Francesco Maestrelli,22,442,28,4718
140,Hugo Dellien,32,438,24,4722
141,Andrea Pellegrino,28,438,22,4722
142,Lukas Klein,27,436,20,4724
143,Zachary Svajda,23,431,18,4729
144,Adolfo Daniel Vallejo,21,431,31,4729
145,Ugo Blanchet,26,427,25,4733
146,Colton Smith,22,424,17,4736
147,Sho Shimabukuro,28,414,22,4746
148,Mark Lajal,22,413,24,4747
149,Titouan Droguet,24,410,25,4750
150,Matteo Gigante,23,407,19,4753
151,Coleman Wong,21,406,23,4754
152,Jaime Faria,22,405,22,4755
153,Daniel Elahi Galan,29,405,23,4755
154,Giulio Zeppieri,24,405,23,4755
155,Pierre-Hugues Herbert,34,399,21,4761
156,Kei Nishikori,35,397,17,4763
157,Stan Wawrinka,40,397,24,4763
158,Henrique Rocha,21,394,27,4766
159,Yosuke Watanuki,27,380,21,4780
160,Guy Den Ouden,23,372,15,4788
161,Juan Pablo Ficovich,28,369,27,4791
162,Luka Mikrut,21,367,25,4793
163,Harold Mayot,23,361,27,4799
164,Zsombor Piros,26,353,16,4807
165,Daniel Merida,21,353,24,4807
166,Luca Van Assche,21,352,25,4808
167,Nishesh Basavareddy,20,349,22,4811
168,Rafael Jodar,19,349,15,4811
169,Vitaliy Sachko,28,349,23,4811
170,Nicolas Mejia,25,348,31,4812
171,Alex Bolt,32,339,18,4821
172,Roman Safiullin,28,338,19,4822
173,Elias Ymer,29,337,27,4823
174,Jay Clarke,27,336,33,4824
175,Hugo Grenier,29,334,29,4826
176,Zdenek Kolar,29,331,34,4829
177,Martin Damm,22,330,20,4830
178,Jurij Rodionov,26,329,26,4831
179,Leandro Riedi,23,326,8,4834
180,Tristan Boyer,24,326,26,4834
181,Dane Sweeny,24,323,30,4837
182,Yibing Wu,26,322,10,4838
183,Federico Agustin Gomez,29,319,22,4841
184,Bernard Tomic,33,319,32,4841
185,Rei Sakamoto,19,318,23,4842
186,Daniel Evans,35,317,22,4843
187,Justin Engel,18,316,32,4844
188,Jerome Kym,22,315,16,4845
189,James McCabe,22,315,29,4845
190,Michael Zheng,21,315,12,4845
191,Arthur Fery,23,313,16,4847
192,Alex Barrena,23,313,26,4847
193,August Holmgren,27,312,23,4848
194,Stefano Travaglia,33,308,24,4852
195,Alvaro Guillen Meza,22,308,30,4852
196,Jason Kubler,32,305,17,4855
197,Thiago Monteiro,31,304,24,4856
198,Daniil Glinka,25,300,26,4860
199,Oliver Crawford,26,300,30,4860
200,Sascha Gueymard Wayenburg,22,297,30,4863
201,Dan Added,26,296,32,4864
202,Clement Tabur,25,292,25,4868
203,Joao Lucas Reis Da Silva,25,288,30,4872
204,Jack Pinnington Jones,22,287,16,4873
205,Alex Molcan,28,286,17,4874
206,Alexis Galarneau,26,285,26,4875
207,Gilles Arnaud Bailly,20,285,29,4875
208,Mitchell Krueger,31,284,21,4876
209,Juan Carlos Prado Angelo,20,282,31,4878
210,Chris Rodesch,24,280,21,4880
211,George Loffhagen,24,280,23,4880
212,Gonzalo Bueno,21,277,33,4883
213,Facundo Diaz Acosta,24,275,20,4885
214,Lorenzo Giustino,34,275,34,4885
215,Pablo Llamas Ruiz,23,274,18,4886
216,Murphy Cassone,23,274,28,4886
217,Ryan Peniston,30,266,26,4894
218,Thiago Seyboth Wild,25,263,21,4897
219,Yu Hsiou Hsu,26,263,29,4897
220,Luka Pavlovic,25,262,19,4898
221,Lukas Neumayer,23,258,27,4902
222,Lloyd Harris,28,256,14,4904
223,Dmitry Popko,29,255,26,4905
224,Arthur Gea,20,255,32,4905
225,Nerman Fatic,31,254,19,4906
226,Santiago Rodriguez Taverna,26,253,38,4907
227,Felipe Meligeni Alves,27,251,13,4909
228,Marco Cecchinato,33,250,24,4910
229,Genaro Alberto Olivieri,27,249,30,4911
230,Rio Noguchi,26,248,28,4912
231,Arthur Bouquier,24,247,18,4913
232,Lautaro Midon,21,247,30,4913
233,Rodrigo Pacheco Mendez,20,247,32,4913
234,Matej Dodig,20,244,26,4916
235,Kimmer Coppejans,31,244,30,4916
236,Johannus Monday,23,243,27,4917
237,Federico Cina,18,240,23,4920
238,Alejandro Moro Canas,25,238,28,4922
239,Timofey Skatov,24,238,30,4922
240,Marko Topo,22,235,22,4925
241,Daniel Rincon,22,234,26,4926
242,Andrea Collarini,33,234,31,4926
243,Gustavo Heide,23,232,13,4928
244,Viktor Durasovic,28,232,26,4928
245,Marc-Andrea Huesler,29,229,18,4931
246,Hady Habib,27,228,24,4932
247,Max Houkes,25,224,29,4936
248,Clement Chidekh,24,221,35,4939
249,Murkel Dellien,28,220,32,4940
250,Daniel Michalski,25,219,25,4941
251,Yi Zhou,20,217,25,4943
252,Kaichi Uchida,31,216,25,4944
253,Juncheng Shang,20,215,14,4945
254,Benjamin Hassan,30,214,30,4946
255,Geoffrey Blancaneaux,27,214,30,4946
256,Juan Pablo Varillas,30,213,19,4947
257,Joel Schwaerzler,19,213,24,4947
258,Remy Bertola,27,213,28,4947
259,Ivan Gakhov,29,213,34,4947
260,Nicolas Kicker,33,212,27,4948
261,Calvin Hemery,30,211,26,4949
262,Frederico Ferreira Silva,30,208,25,4952
263,Dimitar Kuzmanov,32,208,30,4952
264,Ilia Simakin,22,207,22,4953
265,Tiago Pereira,21,206,40,4954
266,Toby Samuel,23,204,20,4956
267,Andres Martin,24,203,27,4957
268,Christopher Eubanks,29,202,23,4958
269,Patrick Zahraj,26,202,28,4958
270,Gauthier Onclin,24,200,27,4960
271,Federico Coria,33,200,14,4960
272,Tom Paris,23,200,24,4960
273,Andres Andrade,27,200,28,4960
274,Pedro Boscardin Dias,22,200,30,4960
275,Edas Butvilas,21,199,28,4961
276,Fajing Sun,29,196,19,4964
277,Sumit Nagal,28,195,24,4965
278,Henri Squire,25,195,27,4965
279,Filip Cristian Jianu,24,194,37,4966
280,Beibit Zhukayev,25,193,27,4967
281,Florent Bax,26,190,25,4970
282,Stefanos Sakellaridis,21,189,24,4971
283,Alex Rybakov,28,189,25,4971
284,Marat Sharipov,23,188,26,4972
285,James Trotter,26,186,20,4974
286,Alastair Gray,27,186,21,4974
287,Saba Purtseladze,24,185,31,4975
288,Michael Mmoh,27,184,16,4976
289,Andrej Nedic,21,183,21,4977
290,Tom Gentzsch,22,183,30,4977
291,Garrett Johns,24,183,34,4977
292,Stefan Kozlov,27,182,13,4978
293,Fabrizio Andaloro,24,182,25,4978
294,Michael Geerts,30,180,35,4980
295,Abdullah Shelbayh,22,179,27,4981
296,Borna Gojo,27,178,15,4982
297,Norbert Gombos,35,178,23,4982
298,Tyler Zink,24,178,29,4982
299,Robin Bertrand,22,178,35,4982
300,Mikhail Kukushkin,37,177,21,4983
301,Hynek Barton,21,177,25,4983
302,Sandro Kopp,25,177,27,4983
303,Darwin Blanch,18,176,23,4984
304,Matheus Pucinelli De Almeida,24,176,26,4984
305,Jacopo Berrettini,27,175,21,4985
306,Liam Broady,31,175,25,4985
307,Renta Tokuda,27,172,28,4988
308,Lilian Marmousez,23,169,22,4991
309,Nikolas Sanchez Izquierdo,26,169,31,4991
310,Petr Brunclik,19,168,23,4992
311,Franco Agamenone,32,168,25,4992
312,Yasutaka Uchiyama,33,167,21,4993
313,Gianluca Cadenasso,21,167,24,4993
314,Aziz Dougaz,28,166,20,4994
315,Harry Wendelken,23,166,28,4994
316,Richard Gasquet,39,165,7,4995
317,Eliakim Coulibaly,23,165,24,4995
318,Jie Cui,27,163,25,4997
319,Akira Santillan,28,163,26,4997
320,Carlos Sanchez Jover,25,162,27,4998
321,Miguel Damas,25,162,30,4998
322,Charles Broom,27,161,23,4999
323,Duje Ajdukovic,24,161,24,4999
324,Matteo Martineau,26,161,29,4999
325,Mats Rosenkranz,27,160,30,5000
326,Gabi Adrian Boitan,26,159,28,5001
327,Facundo Mena,33,157,24,5003
328,Petr Bar Biryukov,23,157,29,5003
329,Moerani Bouzige,26,157,35,5003
330,Philip Henning,25,156,22,5004
331,Mathys Erhard,24,156,31,5004
332,Omar Jasika,28,155,25,5005
333,Giles Hussey,28,153,29,5007
334,Li Tu,29,152,20,5008
335,Oliver Tarvet,22,150,11,5010
336,Hamish Stewart,26,150,28,5010
337,Andrej Martin,36,149,18,5011
338,Alfredo Perez,28,149,28,5011
339,Jelle Sels,30,149,29,5011
340,Gonzalo Villanueva,30,148,30,5012
341,Daniel Dutra da Silva,37,148,32,5012
342,Andrea Vavassori,30,147,4,5013
343,Sergey Fomin,24,147,32,5013
344,Jakub Paul,26,144,16,5016
345,Gabriele Piraino,22,144,20,5016
346,Mika Brunold,21,144,21,5016
347,Maxim Mrva,18,144,24,5016
348,Martin Krumich,22,144,27,5016
349,Andre Ilagan,25,144,31,5016
350,Cedrik-Marcel Stebe,35,142,14,5018
351,Constant Lestienne,33,141,13,5019
352,Yuta Shimizu,26,141,20,5019
353,Franco Roncadelli,25,141,26,5019
354,Maximus Jones,21,141,30,5019
355,Antoine Ghibaudo,20,140,17,5020
356,Javier Barranco Cosano,27,139,22,5021
357,Henry Searle,19,138,23,5022
358,Patrick Maloney,25,138,25,5022
359,Sanhui Shin,28,137,25,5023
360,Hayato Matsuoka,20,136,29,5024
361,Adria Soriano Barrera,26,135,18,5025
362,Nicolas Alvarez Varona,24,135,21,5025
363,Hyeon Chung,29,134,21,5026
364,Dominic Stricker,23,133,17,5027
365,Robert Strombachs,26,133,24,5027
366,Juan Bautista Torres,23,133,30,5027
367,Denis Yevseyev,32,133,32,5027
368,Samir Banerjee,22,132,12,5028
369,Christoph Negritu,31,132,29,5028
370,Luca Potenza,25,132,31,5028
371,Aslan Karatsev,32,131,10,5029
372,Hernan Casanova,31,131,24,5029
373,Alibek Kachmazov,23,130,14,5030
374,Gastao Elias,35,130,21,5030
375,Alexey Vatutin,33,130,26,5030
376,Corentin Denolly,28,130,28,5030
377,Guido Ivan Justo,27,129,27,5031
378,Taro Daniel,32,128,19,5032
379,Felix Gill,23,128,19,5032
380,Viacheslav Bielinskyi,22,128,21,5032
381,Pol Martin Tiffon,26,127,20,5033
382,Paul Jubb,26,127,20,5033
383,Pedro Sakamoto,32,127,22,5033
384,Kilian Feldbausch,20,127,23,5033
385,Tung-Lin Wu,27,127,24,5033
386,Diego Dedura,17,127,27,5033
387,Marek Gengel,30,127,29,5033
388,Cezar Cretu,24,126,24,5034
389,Federico Arnaboldi,25,126,25,5034
390,Max Alcala Gurri,23,126,26,5034
391,Christian Langmo,29,125,30,5035
392,Trevor Svajda,19,124,11,5036
393,Aidan McHugh,25,124,23,5036
394,David Jorda Sanchis,31,124,25,5036
395,Raul Brancaccio,28,124,26,5036
396,Mili Poljicak,21,123,25,5037
397,Rudolf Molleker,25,122,25,5038
398,Matias Soto,26,122,28,5038
399,Arthur Weber,33,121,17,5039
400,Carlo Alberto Caniato,20,121,21,5039
401,Marc Polmans,28,121,22,5039
402,Facundo Bagnis,35,120,11,5040
403,Ioannis Xilas,24,120,20,5040
404,Andrea Picchione,27,120,23,5040
405,Aryan Shah,20,120,29,5040
406,Albert Ramos-Vinolas,37,118,14,5042
407,Igor Marcondes,28,118,17,5042
408,Daniel Milavsky,24,118,22,5042
409,Lucas Poullain,30,118,29,5042
410,Raphael Perot,24,117,15,5043
411,Mariano Kestelboim,29,117,23,5043
412,Inaki Montes-De La Torre,23,117,26,5043
413,Maks Kasnikowski,22,116,16,5044
414,Luca Castelnuovo,28,116,24,5044
415,Mert Alkaya,25,116,27,5044
416,Zhizhen Zhang,29,115,16,5045
417,Alex Hernandez,26,115,29,5045
418,Stuart Parker,28,114,22,5046
419,Alex Martinez,24,114,26,5046
420,Kasidit Samrej,24,114,29,5046
421,Svyatoslav Gulin,23,113,21,5047
422,Florian Broska,27,112,21,5048
423,Hikaru Shiraishi,25,112,27,5048
424,Michele Ribecai,22,112,31,5048
425,Dan Martin,26,111,28,5049
426,Max Basing,23,111,13,5049
427,Ricardas Berankis,35,111,15,5049
428,Neil Oberleitner,26,111,25,5049
429,Lorenzo Carboni,19,111,27,5049
430,Antoine Escoffier,33,110,27,5050
431,Vadym Ursu,28,110,28,5050
432,Erik Arutiunian,21,109,26,5051
433,Luciano Emanuel Ambrogi,22,109,27,5051
434,Etienne Donnet,24,108,18,5052
435,Radu Albot,36,108,23,5052
436,Milos Karol,23,108,23,5052
437,Roberto Cid Subervi,32,107,11,5053
438,Juan Manuel La Serna,21,107,21,5053
439,Buvaysar Gadamauri,25,107,27,5053
440,Alexandr Binda,24,107,29,5053
441,Federico Bondioli,20,107,32,5053
442,Giovanni Fonio,27,106,22,5054
443,Oleg Prihodko,28,106,23,5054
444,Mae Malige,19,106,24,5054
445,Yusuke Takahashi,28,106,25,5054
446,Jonas Forejtek,24,105,18,5055
447,Max Wiskandt,23,104,22,5056
448,Olle Wallin,24,104,27,5056
449,Lorenzo Joaquin Rodriguez,26,103,28,5057
450,Yanki Erel,25,102,18,5058
451,Bernabe Zapata Miralles,28,102,21,5058
452,Stefano Napolitano,30,101,14,5059
453,Dali Blanch,22,101,28,5059
454,Thanasi Kokkinakis,29,100,4,5060
455,Gianmarco Ferrari,25,100,28,5060
456,Andrew Fenty,25,99,26,5061
457,Andrey Chepelev,27,99,35,5061
458,Olaf Pieczkowski,21,98,23,5062
459,Maxim Zhukov,20,98,24,5062
460,Marvin Moeller,26,98,25,5062
461,Mateus Alves,24,97,27,5063
462,James Story,24,97,27,5063
463,Pavel Kotov,27,96,16,5064
464,Eduardo Ribeiro,27,96,18,5064
465,Enrico Dalla Valle,27,96,21,5064
466,Jay Friend,21,95,12,5065
467,Ognjen Milic,18,95,17,5065
468,Keegan Smith,27,95,23,5065
469,Jake Delaney,28,95,30,5065
470,Hiroki Moriya,35,94,18,5066
471,Karan Singh,22,94,25,5066
