ranking_bin,prize_usd
1-10,77603789
11-20,28055427
21-30,19541700
31-40,17007405
41-50,13535022
51-60,11649276
61-70,10175806
71-80,8691953
81-90,7765935
91-100,8547773
101-110,5436176
111-120,6194312
121-130,4762089
131-140,3903499
141-150,4083742
151-160,3723787
161-170,2457762
171-180,2958576
181-190,2543217
191-200,1795049
201-210,1834815
211-220,1604926
221-230,2011938
231-240,1412963
241-250,1367370
251-260,1313861
261-270,1441790
271-280,1082889
281-290,1301172
291-300,888506
301-310,779459
311-320,955428
321-330,861465
331-340,586606
341-350,410189
351-360,578228
361-370,657500
371-380,569118
381-390,701811
391-400,515148
401-410,506140
411-420,763687
421-430,417067
431-440,454446
441-450,441232
451-460,445483
461-470,272892
471-480,258868
481-490,328859
491-500,255032
